answer,count,count,count,count,count
Michael Myers,,,3.0,,
Panda Express,,,3.0,,
an urchin,,,3.0,2.0,
line,,,3.0,2.0,
Franklin Pierce,,,3.0,6.0,14.0
Brittany,,,3.0,2.0,2.0
Roland,,,3.0,3.0,5.0
the Tasman Sea,,,3.0,2.0,2.0
Cro-Magnon,,,3.0,2.0,3.0
David Farragut,,,3.0,3.0,3.0
Inherit the Wind,,,3.0,5.0,3.0
columns,,,3.0,2.0,
Tarsus,,,3.0,1.0,3.0
Marisa Tomei,,,3.0,,
Bob Seger,,,3.0,,1.0
Riders of the Purple Sage,,,3.0,,2.0
alliance,,,3.0,,
the Charge of the Light Brigade,,,3.0,,1.0
Sikorsky,,,3.0,3.0,5.0
"The $64,000 Question",,,3.0,1.0,1.0
the Phoenicians,,,3.0,5.0,3.0
Frédéric Chopin,,,3.0,,
Penn,,,3.0,1.0,
Canaan,,,3.0,1.0,2.0
Zambia & Zimbabwe,,,3.0,1.0,
Time Warner,,,3.0,1.0,
Robert Penn Warren,,,3.0,3.0,5.0
Biafra,,,3.0,,2.0
The Lovely Bones,,,3.0,,1.0
the Cook Islands,,,3.0,1.0,1.0
The Goldfinch,,,3.0,,3.0
cameos,,,3.0,,
Fleet Street,,,3.0,2.0,2.0
(Paul) Simon,,,3.0,,
Asgard,,,3.0,4.0,3.0
RE/MAX,,,3.0,,
Modern Times,,,3.0,,4.0
(Isak) Dinesen,,,3.0,,1.0
Mary Decker,,,3.0,,
Anthony Bourdain,,,3.0,,
(Winslow) Homer,,,3.0,2.0,1.0
the Maccabees,,,3.0,1.0,2.0
Clayton Moore,,,3.0,,
The Facts of Life,,,3.0,,1.0
(Horace) Greeley,,,3.0,1.0,1.0
the <i>Enterprise</i>,,,3.0,,
Marc Chagall,,,3.0,9.0,9.0
the shekel,,,3.0,,
palmetto,,,3.0,1.0,
sarcophagi,,,3.0,,
Speedy Gonzales,,,3.0,,1.0
St. Ignatius of Loyola,,,3.0,,
Volta,,,3.0,4.0,3.0
Equatorial Guinea,,,3.0,,3.0
a fig leaf,,,3.0,,
vulcanization,,,3.0,3.0,1.0
the Orange Bowl,,,3.0,,
canasta,,,3.0,,1.0
the albatross,,,3.0,5.0,1.0
Iberia,,,3.0,1.0,
Verrazano,,,3.0,2.0,3.0
Watchmen,,,3.0,,2.0
a snowmobile,,,3.0,,
the Future Farmers of America,,,3.0,,
cuneiform,,,3.0,6.0,7.0
Cathay,,,3.0,,
Elizabeth Gilbert,,,3.0,,1.0
hydrogen sulfide,,,3.0,,1.0
Mandalay,,,3.0,1.0,
A Study in Scarlet,,,3.0,5.0,1.0
bliss,,,3.0,,
(Walter) Mondale,,,3.0,1.0,
the Thought Police,,,3.0,,
biennial,,,3.0,,
an iguana,,,3.0,,2.0
provost,,,3.0,,
the Comanche,,,3.0,,2.0
ambrosia,,,3.0,,
Menudo,,,3.0,,2.0
tête-à-tête,,,3.0,,1.0
Belle Starr,,,3.0,,5.0
Henry VII,,,3.0,4.0,7.0
(Pierre) Trudeau,,,3.0,1.0,
a shar-pei,,,3.0,,
parchment,,,3.0,2.0,
the <i>Hesperus</i>,,,3.0,1.0,1.0
Eau Claire,,,3.0,2.0,1.0
Dvořák,,,3.0,2.0,4.0
Miriam,,,3.0,2.0,3.0
The Seventh Seal,,,3.0,2.0,4.0
psychoanalysis,,,3.0,,
farsightedness,,,3.0,1.0,
Airbus,,,3.0,3.0,1.0
Gustav,,,3.0,,
The Apartment,,,3.0,2.0,
Oddjob,,,3.0,1.0,
Althea Gibson,,,3.0,3.0,2.0
(J.P.) Morgan,,,3.0,,1.0
"John D. Rockefeller, Jr.",,,3.0,1.0,
Betty Grable,,,3.0,,1.0
basil,,,3.0,3.0,3.0
Nathan Lane,,,3.0,,1.0
"""My Old Kentucky Home""",,,3.0,,1.0
catharsis,,,3.0,2.0,
Triangle,,,3.0,,
the Prodigal Son,,,3.0,,
Catch Me If You Can,,,3.0,3.0,1.0
cosmic rays,,,3.0,1.0,
Ernie Banks,,,3.0,2.0,
Brahma,,,3.0,1.0,2.0
obsidian,,,3.0,4.0,3.0
Sam Ervin,,,3.0,2.0,1.0
the British East India Company,,,3.0,1.0,3.0
Sir Richard Burton,,,3.0,4.0,7.0
the Tagus River,,,3.0,2.0,1.0
Robert Ford,,,3.0,,1.0
June Lockhart,,,3.0,,
Edward the Confessor,,,3.0,1.0,4.0
Irene Cara,,,3.0,,2.0
triangle,,,3.0,2.0,
camera,,,3.0,,
Oak Ridge,,,3.0,6.0,1.0
(Erle Stanley) Gardner,,,3.0,,
Moby,,,3.0,,1.0
Clare Boothe Luce,,,3.0,3.0,2.0
Flemish,,,3.0,3.0,
Cinderella Man,,,3.0,,
Van Morrison,,,3.0,,
Acadia,,,3.0,1.0,5.0
endocrine,,,3.0,,1.0
Technicolor,,,3.0,,
Western Electric,,,2.0,,
the White Album,,,2.0,,
Captain Midnight,,,2.0,,1.0
Hootie & the Blowfish,,,2.0,1.0,1.0
harpies,,,2.0,4.0,2.0
Milos Forman,,,2.0,,1.0
Sam Peckinpah,,,2.0,1.0,1.0
a fulcrum,,,2.0,2.0,1.0
a seminary,,,2.0,,
the West Bank,,,2.0,1.0,
a siren,,,2.0,,
extemporaneous,,,2.0,2.0,
gladiola,,,2.0,,
a liger,,,2.0,,
sound waves,,,2.0,,
the consumer price index,,,2.0,,
Koko,,,2.0,2.0,3.0
QuickTime,,,2.0,,
Joliet,,,2.0,2.0,
the radius & the ulna,,,2.0,,1.0
pithy,,,2.0,,1.0
Still Life,,,2.0,,
Hal Holbrook,,,2.0,,1.0
a pansy,,,2.0,,
a saber,,,2.0,,
Eric Roberts,,,2.0,,1.0
eruption,,,2.0,,
the solar plexus,,,2.0,1.0,2.0
plush,,,2.0,,
Zola Budd,,,2.0,1.0,1.0
"Rex Morgan, M.D.",,,2.0,,
Pakistan & Afghanistan,,,2.0,1.0,1.0
Up in Smoke,,,2.0,,
Maryland & Rhode Island,,,2.0,,
a bishop,,,2.0,,
a retreat,,,2.0,,
Pompidou,,,2.0,,1.0
maracas,,,2.0,,1.0
wrangler,,,2.0,1.0,1.0
the Admiralty,,,2.0,,1.0
Amanda Bynes,,,2.0,,1.0
the Getty,,,2.0,,
Murder in the Cathedral,,,2.0,2.0,3.0
the Coptics,,,2.0,1.0,2.0
Anthony Trollope,,,2.0,,2.0
The Thin Red Line,,,2.0,,2.0
conjunctivitis,,,2.0,2.0,
Daphne,,,2.0,4.0,1.0
the Alaska Pipeline,,,2.0,1.0,1.0
Primavera,,,2.0,,
Katharine McPhee,,,2.0,,
Frank Gehry,,,2.0,1.0,2.0
thorium,,,2.0,2.0,3.0
splicing,,,2.0,,
Ole Miss,,,2.0,,
Northanger Abbey,,,2.0,1.0,3.0
Jimmy the Greek,,,2.0,,
the Lutheran Church,,,2.0,,
Sookie Stackhouse,,,2.0,,
a melting pot,,,2.0,1.0,
Dream,,,2.0,,
Faberge,,,2.0,1.0,1.0
whittling,,,2.0,,
the Bridge of Sighs,,,2.0,2.0,3.0
Banzai,,,2.0,,
Any Given Sunday,,,2.0,1.0,
Ghost Whisperer,,,2.0,,
Alsace,,,2.0,,
Djibouti,,,2.0,3.0,7.0
aioli,,,2.0,3.0,
Golden Boy,,,2.0,,2.0
Wellesley,,,2.0,2.0,2.0
the Torah,,,2.0,2.0,
logarithms,,,2.0,,2.0
Whiplash,,,2.0,1.0,
Aer Lingus,,,2.0,3.0,1.0
Lamentations,,,2.0,4.0,4.0
bookkeeping,,,2.0,,
"""Hakuna Matata""",,,2.0,,
nougat,,,2.0,,
hostels,,,2.0,,
The War of 1812,,,2.0,,
Member of the Wedding,,,2.0,,2.0
rock candy,,,2.0,,
Quartering,,,2.0,,
billet,,,2.0,,
Burton,,,2.0,,
a spiritual,,,2.0,,
Electric Sheep,,,2.0,,
Face the Nation,,,2.0,1.0,
David Hockney,,,2.0,,6.0
Pepper,,,2.0,,1.0
Notting Hill,,,2.0,,1.0
The Good Place,,,2.0,,
Bad Teacher,,,2.0,,
"""Tiny""",,,2.0,,
ersatz,,,2.0,4.0,2.0
beriberi,,,2.0,2.0,4.0
a gamecock,,,2.0,1.0,
the water table,,,2.0,,1.0
soot,,,2.0,2.0,
Günter Grass,,,2.0,1.0,3.0
Rickey Henderson,,,2.0,1.0,1.0
criterion,,,2.0,,
"""Baby Face"" Nelson",,,2.0,,
amnesty,,,2.0,1.0,1.0
hematoma,,,2.0,,
Octavia Spencer,,,2.0,,
physiology,,,2.0,,1.0
Kevin Garnett,,,2.0,1.0,
the proscenium,,,2.0,,
cacciatore,,,2.0,,1.0
pupa,,,2.0,,1.0
wherefore,,,2.0,,
clairvoyance,,,2.0,,
Air France,,,2.0,1.0,
belligerent,,,2.0,,1.0
atmospheric pressure,,,2.0,,
De Beers,,,2.0,2.0,2.0
a buffoon,,,2.0,,
Michael Johnson,,,2.0,1.0,2.0
Jasper Johns,,,2.0,4.0,9.0
Celeste Ng,,,2.0,,
Bullets Over Broadway,,,2.0,,
turbulence,,,2.0,1.0,
Grand Guignol,,,2.0,1.0,
zoot suit,,,2.0,,
a weed,,,2.0,,
"""Rock The Casbah""",,,2.0,,
Roger Clemens,,,2.0,2.0,
LeRoy Neiman,,,2.0,1.0,1.0
the bottlenose,,,2.0,,
a gibbon,,,2.0,1.0,1.0
Svengali,,,2.0,3.0,3.0
melancholy,,,2.0,3.0,
a Duesenberg,,,2.0,1.0,1.0
a bouzouki,,,2.0,2.0,
pins and needles,,,2.0,,
wetlands,,,2.0,,
Bologna,,,2.0,3.0,1.0
fiscal,,,2.0,,
frank,,,2.0,2.0,
John Cassavetes,,,2.0,1.0,2.0
Heaven Can Wait,,,2.0,1.0,
Battle of the Bulge,,,2.0,,
Petrarch,,,2.0,8.0,11.0
(Allan) Pinkerton,,,2.0,,2.0
Salisbury Plain,,,2.0,,
meteor shower,,,2.0,,
a hedge fund,,,2.0,1.0,
von Furstenberg,,,2.0,,1.0
alloys,,,2.0,1.0,
Mike Judge,,,2.0,,1.0
St. Jerome,,,2.0,,2.0
(D.W.) Griffith,,,2.0,1.0,
How Stella Got Her Groove Back,,,2.0,,
Bellerophon,,,2.0,1.0,1.0
the noble gases,,,2.0,1.0,1.0
Erewhon,,,2.0,3.0,6.0
Green Mountains,,,2.0,,
Broad City,,,2.0,1.0,
chisel,,,2.0,,
Urban Outfitters,,,2.0,1.0,
Toby Keith,,,2.0,2.0,3.0
The Big Easy,,,2.0,1.0,2.0
"""Somebody That I Used To Know""",,,2.0,1.0,
Impossible,,,2.0,1.0,
a prune,,,2.0,,
American Eagle,,,2.0,,
a concertina,,,2.0,,4.0
eleven,,,2.0,,
Copperheads,,,2.0,3.0,
Grand Marnier,,,2.0,,1.0
Tasman Sea,,,2.0,,1.0
Ken Follett,,,2.0,2.0,4.0
Hydra,,,2.0,3.0,3.0
The Lion in Winter,,,2.0,2.0,3.0
Tipperary,,,2.0,1.0,1.0
Spellbound,,,2.0,1.0,1.0
Occidental,,,2.0,3.0,1.0
auf Wiedersehen,,,2.0,,
The Miami Herald,,,2.0,1.0,
Song of the South,,,2.0,1.0,
the Socratic method,,,2.0,,
Mother Cabrini,,,2.0,2.0,3.0
Frank Thomas,,,2.0,,
Trinidad & Tobago,,,2.0,5.0,2.0
the Mount of Olives,,,2.0,2.0,1.0
the Shannon River,,,2.0,,
Turandot,,,2.0,2.0,6.0
Norman Vincent Peale,,,2.0,4.0,3.0
Marjorie Kinnan Rawlings,,,2.0,2.0,5.0
Deborah,,,2.0,5.0,4.0
46,,,2.0,1.0,2.0
Red Adair,,,2.0,,1.0
likelihood,,,2.0,,
emir,,,2.0,1.0,
(Robert) Goddard,,,2.0,5.0,4.0
cut,,,2.0,1.0,1.0
(Louis) Brandeis,,,2.0,,2.0
Malaria,,,2.0,,
Spelling Bee,,,2.0,,
the Curies (Pierre & Marie),,,2.0,,
Tylenol,,,2.0,1.0,
hunt,,,2.0,,
a pipe,,,2.0,,
National Lampoon,,,2.0,,1.0
The Greatest Show on Earth,,,2.0,3.0,2.0
Court TV,,,2.0,1.0,2.0
Quisling,,,2.0,2.0,4.0
the Knesset,,,2.0,2.0,1.0
skeleton,,,2.0,,
Alexander Solzhenitsyn,,,2.0,,
the troposphere,,,2.0,3.0,4.0
Zephyr,,,2.0,4.0,2.0
devout,,,2.0,,
intelligent design,,,2.0,,1.0
euphemism,,,2.0,,
(Pat) Garrett,,,2.0,,
the Antarctic Circle,,,2.0,2.0,
an afro,,,2.0,,
usury,,,2.0,4.0,
Isaiah,,,2.0,2.0,2.0
the NEA (National Endowment for the Arts),,,2.0,,
(Joe) Theismann,,,2.0,,
the eruption of Vesuvius,,,2.0,,
your ear,,,2.0,,
Sakharov,,,2.0,2.0,2.0
noses,,,2.0,,
the Bunker Hill monument,,,2.0,,
for whom the bell tolls,,,2.0,,1.0
the Eustachian tube,,,2.0,,3.0
hedge,,,2.0,,
pugnacious,,,2.0,1.0,
allegory,,,2.0,,1.0
Commonwealth,,,2.0,1.0,
Sarah Vaughan,,,2.0,,4.0
Cassius,,,2.0,5.0,2.0
aspic,,,2.0,1.0,
Coors Light,,,2.0,,
Quechuan,,,2.0,,
ermine,,,2.0,2.0,
a widow,,,2.0,,
Miss Congeniality,,,2.0,,1.0
a midwife,,,2.0,,
Braun,,,2.0,1.0,
The Fog,,,2.0,,
sortie,,,2.0,1.0,
Sugar Ray,,,2.0,,
An Affair to Remember,,,2.0,,1.0
machete,,,2.0,,
Peloponnesian,,,2.0,,
Benedictine,,,2.0,2.0,1.0
a sunspot,,,2.0,,
The Dukes of Hazzard,,,2.0,1.0,2.0
asymmetrical,,,2.0,,
Ayatollah,,,2.0,1.0,
the Huskies,,,2.0,,
Dmitri Mendeleev,,,2.0,2.0,4.0
Dell,,,2.0,1.0,1.0
Arrowsmith,,,2.0,5.0,1.0
the Gap,,,2.0,,
neutrinos,,,2.0,,3.0
dinner,,,2.0,1.0,
CeeLo Green,,,2.0,,
viscosity,,,2.0,4.0,3.0
the big toe,,,2.0,,1.0
Julio Cesar Chavez,,,2.0,,
Virginia City,,,2.0,3.0,5.0
the Jehovah's Witnesses,,,2.0,2.0,2.0
June 6,,,2.0,,
(James) Baldwin,,,2.0,2.0,2.0
As Good as It Gets,,,2.0,1.0,
quince,,,2.0,1.0,1.0
Days of Our Lives,,,2.0,,1.0
second lieutenant,,,2.0,1.0,
"""Anchors Aweigh""",,,2.0,1.0,
High School Musical,,,2.0,1.0,
the beak,,,2.0,,
alimentary,,,2.0,,
Leah,,,2.0,1.0,2.0
a bob,,,2.0,1.0,1.0
The Usual Suspects,,,2.0,2.0,2.0
paterfamilias,,,2.0,,1.0
Homo erectus,,,2.0,,5.0
Serengeti,,,2.0,2.0,3.0
The Sporting News,,,2.0,,
Zydeco,,,2.0,1.0,
a coup,,,2.0,,
hematology,,,2.0,1.0,2.0
Gian Carlo Menotti,,,2.0,,
The Seagull,,,2.0,3.0,2.0
Priam,,,2.0,5.0,3.0
Rashida Jones,,,2.0,,1.0
pemmican,,,2.0,2.0,1.0
a turntable,,,2.0,,
a spoonerism,,,2.0,,
san,,,2.0,,
(Kofi) Annan,,,2.0,,1.0
ahi,,,2.0,,
crustaceans,,,2.0,,2.0
the Golden Horde,,,2.0,2.0,3.0
The Closer,,,2.0,1.0,
charley horse,,,2.0,,
zircon,,,2.0,1.0,1.0
enchilada,,,2.0,1.0,
over the top,,,2.0,,
phi,,,2.0,,
abstract expressionism,,,2.0,,1.0
the Goliath beetle,,,2.0,,
The Hustler</i> & <i>The Color of Money,,,2.0,,
confession,,,2.0,,
Far,,,2.0,1.0,
Love Field,,,2.0,1.0,
Bill Sikes,,,2.0,,1.0
humerus,,,2.0,1.0,2.0
Product 19,,,2.0,,
Elektra,,,2.0,1.0,1.0
Analyze This,,,2.0,,
(Wolf) Blitzer,,,2.0,,
Artie Shaw,,,2.0,2.0,
canapé,,,2.0,,1.0
trompe-l'œil,,,2.0,2.0,
Joseph Haydn,,,2.0,5.0,2.0
Emperor,,,2.0,1.0,
the Department of Commerce,,,2.0,5.0,3.0
"""Whoomp!""",,,2.0,,
the kiwi,,,2.0,2.0,
Edward Teller,,,2.0,2.0,3.0
Midnight in the Garden of Good and Evil,,,2.0,2.0,3.0
Tim Gunn,,,2.0,,
two-thirds,,,2.0,2.0,
Henry Cabot Lodge,,,2.0,4.0,2.0
Leatherstocking,,,2.0,,1.0
the half-life,,,2.0,,
Pierrot,,,2.0,,1.0
nihilism,,,2.0,1.0,1.0
the happy hunting ground,,,2.0,,
Paul Shaffer,,,2.0,,
an adder,,,2.0,,
Wally Schirra,,,2.0,1.0,
George's gorges,,,2.0,,
a Siamese cat,,,2.0,1.0,
a revolution,,,2.0,,
The Philadelphia Story,,,2.0,1.0,3.0
flex,,,2.0,,
Alias,,,2.0,1.0,
Bantam Books,,,2.0,,
Black Hawk,,,2.0,4.0,4.0
(George) Gallup,,,2.0,,
Jon Voight,,,2.0,3.0,
a police officer,,,2.0,,
greenbacks,,,2.0,,1.0
a yucca,,,2.0,1.0,
Athos,,,2.0,,
a carp,,,2.0,,
Six Degrees of Separation,,,2.0,2.0,3.0
splurge,,,2.0,1.0,
The Sea-Wolf,,,2.0,2.0,1.0
zabaglione,,,2.0,,3.0
Peggy Lipton,,,2.0,,
Acadia (Acadie),,,2.0,,
the Jurassic period,,,2.0,,
Bird Box,,,2.0,,
an axe,,,2.0,,
Gitche Gumee,,,2.0,,
(Aaron) Copland,,,2.0,,3.0
bismuth,,,2.0,1.0,4.0
a daffodil,,,2.0,,
Bausch + Lomb,,,2.0,,
the Pantheon,,,2.0,6.0,2.0
Stomp,,,2.0,,1.0
Ukrainian,,,2.0,,1.0
binary code,,,2.0,,
Prokofiev,,,2.0,3.0,10.0
the Panhandle,,,2.0,,
(John) Bunyan,,,2.0,3.0,2.0
The Merry Widow,,,2.0,2.0,1.0
Minnie Driver,,,2.0,1.0,
Balmoral,,,2.0,1.0,3.0
(E.L.) James,,,2.0,,
Aeschylus,,,2.0,,16.0
Darjeeling,,,2.0,1.0,3.0
"Ed Begley, Jr.",,,2.0,,1.0
the Beatitudes,,,2.0,,4.0
John C. Fremont,,,2.0,2.0,4.0
Valentina Tereshkova,,,2.0,3.0,9.0
narcissism,,,2.0,1.0,
The Misanthrope,,,2.0,,2.0
Chaka Khan,,,2.0,,
WarGames,,,2.0,,
refueling,,,2.0,,
Islands in the Stream,,,2.0,1.0,1.0
Charybdis,,,2.0,3.0,
1936,,,2.0,2.0,1.0
The White Shadow,,,2.0,1.0,1.0
a tinderbox,,,2.0,,
calcium carbonate,,,2.0,4.0,1.0
Bourbon Street,,,2.0,,
its tongue,,,2.0,1.0,
(Alexander) Haig,,,2.0,4.0,1.0
Kirk Cameron,,,2.0,,2.0
"""The Devil Went Down To Georgia""",,,2.0,,
mummy,,,2.0,,
Fabergé,,,2.0,2.0,2.0
muster,,,2.0,,
du Pont,,,2.0,1.0,
Hagrid,,,2.0,1.0,
kilogram,,,2.0,,
Kalamata,,,2.0,1.0,
black-eyed peas,,,2.0,,
handwriting on the wall,,,2.0,,
Earnest,,,2.0,,1.0
Newsday,,,2.0,,1.0
E pluribus unum,,,2.0,,
mohair,,,2.0,1.0,1.0
Mustardseed,,,2.0,,
Pretty in Pink,,,2.0,1.0,1.0
moguls,,,2.0,,
Norton,,,2.0,,1.0
libido,,,2.0,2.0,1.0
Dame Nellie Melba,,,2.0,1.0,
The Sword in the Stone,,,2.0,,
Sharon Tate,,,2.0,,
Tommy Boy,,,2.0,,
the Woolworth Building,,,2.0,,
Jacques Offenbach,,,2.0,2.0,3.0
the East Room,,,2.0,2.0,
"""Mad Dog""",,,2.0,,
prairie dogs,,,2.0,1.0,1.0
Sleater-Kinney,,,2.0,,1.0
Native Son,,,2.0,,5.0
continuum,,,2.0,,
joie de vivre,,,2.0,,
(Robby) Burns,,,2.0,,
Saw,,,2.0,,
Punxsutawney Phil,,,2.0,1.0,
Twice-Told Tales,,,2.0,1.0,1.0
a harpy,,,2.0,1.0,1.0
empty,,,2.0,,
Helga,,,2.0,1.0,
Berklee,,,2.0,,1.0
Gephardt,,,2.0,,
overthrow,,,2.0,,
the proletariat,,,2.0,1.0,2.0
skip,,,2.0,,
Monsignor,,,2.0,,
the Biosphere,,,2.0,,
the spoils system,,,2.0,,3.0
a solution,,,2.0,,
apocryphal,,,2.0,,
aftermath,,,2.0,,
(Kenneth) Grahame,,,2.0,1.0,2.0
Nick Adams,,,2.0,1.0,1.0
Vientiane,,,2.0,2.0,6.0
a skirt,,,2.0,,
"""O Little Town Of Bethlehem""",,,2.0,,1.0
a telenovela,,,2.0,,
ectoplasm,,,2.0,1.0,
tonic,,,2.0,2.0,
Honeymoon in Vegas,,,2.0,,
Shane,,,2.0,2.0,
a red cent,,,2.0,,
"""The Moonlight Sonata""",,,2.0,,
John Coltrane,,,2.0,3.0,1.0
Of Human Bondage,,,2.0,4.0,7.0
Steven Soderbergh,,,2.0,2.0,
Richard Bachman,,,2.0,1.0,
gung ho,,,2.0,1.0,
Franz Joseph,,,2.0,4.0,7.0
Dubuque,,,2.0,,3.0
Carol Moseley Braun,,,2.0,2.0,5.0
Veracruz,,,2.0,2.0,1.0
a bookkeeper,,,2.0,,
Kings of Leon,,,2.0,3.0,1.0
a crystal,,,2.0,3.0,
Absolut,,,2.0,,
Silicon,,,2.0,,1.0
myth,,,2.0,,
Donatella Versace,,,2.0,2.0,
Entebbe,,,2.0,3.0,4.0
Mamma Mia,,,2.0,,
Buttercup,,,2.0,,1.0
Yertle,,,2.0,,
the <i>Girl with a Pearl Earring</i>,,,2.0,,
a rusty nail,,,2.0,,1.0
(Antonio) Vivaldi,,,2.0,,2.0
Earth shoe,,,2.0,,
hybrid,,,2.0,,
a soap opera,,,2.0,,
ragout,,,2.0,,
"Birmingham, Alabama",,,2.0,,
The Snows of Kilimanjaro,,,2.0,,1.0
Ender,,,2.0,1.0,
sloe,,,2.0,,
T-Mobile,,,2.0,,
a pen,,,2.0,1.0,
the Red,,,2.0,,
Graham crackers,,,2.0,,
The Aviator,,,2.0,1.0,
Elle,,,2.0,1.0,1.0
"Trapper John, M.D.",,,2.0,1.0,1.0
an osprey,,,2.0,,2.0
The Three Faces of Eve,,,2.0,,2.0
Rhiannon,,,2.0,,
zero population growth,,,2.0,,
Todd,,,2.0,,
Trygve Lie,,,2.0,2.0,7.0
(Oliver Hazard) Perry,,,2.0,,
sod,,,2.0,2.0,
syntax,,,2.0,2.0,3.0
Midland,,,2.0,,
James Corden,,,2.0,,
Brandi Chastain,,,2.0,,2.0
the Iron Age,,,2.0,1.0,1.0
Louis Daguerre,,,2.0,3.0,1.0
Assad,,,2.0,1.0,
Ben,,,2.0,,
Earl Butz,,,2.0,,1.0
Stiller & Meara,,,2.0,,
Bianca,,,2.0,2.0,4.0
jaded,,,2.0,2.0,1.0
breaching,,,2.0,,
the Trevi Fountain,,,2.0,2.0,4.0
gregarious,,,2.0,2.0,
American Tourister,,,2.0,1.0,
Ruby Keeler,,,2.0,,2.0
cash flow,,,2.0,,
Southampton,,,2.0,2.0,2.0
Rachmaninoff,,,2.0,2.0,5.0
Judy Collins,,,2.0,,1.0
artillery,,,2.0,,1.0
folic acid,,,2.0,1.0,2.0
a guest host,,,2.0,,
Radio,,,2.0,,
an attaché,,,2.0,,
Fortran,,,2.0,,
bebop,,,2.0,1.0,
feet,,,2.0,,3.0
sandstorms,,,2.0,,
Melissa Joan Hart,,,2.0,,
the Whig Party,,,2.0,1.0,1.0
capisce,,,2.0,,
Charles Schwab,,,2.0,,3.0
sitar,,,2.0,,
Mercutio,,,2.0,2.0,2.0
a pineapple,,,2.0,1.0,2.0
swift,,,2.0,1.0,
oils,,,2.0,1.0,
Planet Hollywood,,,2.0,,
Lena Dunham,,,2.0,,1.0
the <i>Property Brothers</i>,,,2.0,,
"""Diamonds Are A Girl's Best Friend""",,,2.0,,
Mr. Potato Head,,,2.0,,
Arden,,,2.0,2.0,2.0
the salmon,,,2.0,,
a gladiola,,,2.0,,1.0
Mini-Me,,,2.0,,
trolling,,,2.0,,1.0
ergonomics,,,2.0,3.0,
Madeline,,,2.0,1.0,1.0
Kim Il-sung,,,2.0,1.0,5.0
Depeche Mode,,,2.0,1.0,
The Great Santini,,,2.0,1.0,1.0
Bill Mazeroski,,,2.0,,
Édouard Manet,,,2.0,2.0,3.0
opals,,,2.0,,1.0
savings bonds,,,2.0,,
the judiciary,,,2.0,,
shepherds,,,2.0,,
the Jewish calendar,,,2.0,1.0,
John Sirica,,,2.0,,4.0
the Congressional Record,,,2.0,,
Orly,,,2.0,1.0,1.0
Mike Fink,,,2.0,3.0,3.0
cleft,,,2.0,,
Peril,,,2.0,,
Blithe Spirit,,,2.0,10.0,
Tacoma,,,2.0,1.0,1.0
Blonde,,,2.0,,
The Falcon and the Snowman,,,2.0,1.0,1.0
Nora,,,2.0,,5.0
Pal Joey,,,2.0,,2.0
impromptu,,,2.0,,1.0
Julianne Moore,,,2.0,2.0,
a nose,,,2.0,,
Tara Lipinski,,,2.0,1.0,2.0
Felipe,,,2.0,,
a laser beam,,,2.0,,
pine tar,,,2.0,,
Harvard Lampoon,,,2.0,,
polenta,,,2.0,,1.0
microphone,,,2.0,,
mime,,,2.0,,1.0
Christoph Waltz,,,2.0,,
(Bob) Fosse,,,2.0,,
Sergei Prokofiev,,,2.0,3.0,2.0
Michael Clarke Duncan,,,2.0,,
the Houston Astrodome,,,2.0,,
Peter Ilyich Tchaikovsky,,,2.0,,
closing costs,,,2.0,,
Richard Pryor,,,2.0,2.0,1.0
julienne,,,2.0,1.0,
Savannah Guthrie,,,2.0,,
Sagan,,,2.0,,1.0
Ascot,,,2.0,,
a bit,,,2.0,1.0,
feeble,,,2.0,,
sickle-cell anemia,,,2.0,,
a maple,,,2.0,1.0,
David E. Kelley,,,2.0,,2.0
salt (sodium chloride),,,2.0,,
coyotes,,,2.0,,
Raisin in the Sun,,,2.0,,
decant,,,2.0,1.0,
The Last Judgment,,,2.0,,2.0
metaphysics,,,2.0,,1.0
Sam Mendes,,,2.0,1.0,
District 9,,,2.0,,
AK-47,,,2.0,1.0,
Tahoe,,,2.0,2.0,
Grand Canyon Suite,,,2.0,,2.0
deep six,,,2.0,,
Elizabeth (Barrett) Browning,,,2.0,,
clockwork,,,2.0,,1.0
Niccolo Paganini,,,2.0,1.0,1.0
hirsute,,,2.0,,
Chuck Schumer,,,2.0,,2.0
Wilma Rudolph,,,2.0,3.0,
bleak,,,2.0,,1.0
(Saddam) Hussein,,,2.0,1.0,
a ledger,,,2.0,,
Van Helsing,,,2.0,3.0,2.0
the Great Plains,,,2.0,1.0,
Anna Nicole Smith,,,2.0,3.0,1.0
fennel,,,2.0,1.0,1.0
seize the day,,,2.0,1.0,1.0
aunt,,,2.0,,
gram,,,2.0,,
Crimea,,,2.0,1.0,1.0
American Lung Association,,,2.0,,
Willy Brandt,,,2.0,2.0,6.0
snake in the grass,,,2.0,,
the color purple,,,2.0,,
free fall,,,2.0,,
a digestif,,,2.0,,
the White Cliffs of Dover,,,2.0,,
Malcolm Forbes,,,2.0,,2.0
Rudy,,,2.0,,1.0
the Reform Party,,,2.0,1.0,
"""The Last Judgment""",,,2.0,,
small potatoes,,,2.0,,
Sea of Galilee,,,2.0,1.0,
"""Bang A Gong""",,,2.0,,
Damon,,,2.0,1.0,
null & void,,,2.0,,
Chiclets,,,2.0,1.0,
John L. Sullivan,,,2.0,1.0,
American Ballet Theatre,,,2.0,1.0,1.0
Stronger,,,2.0,,
The Man Who Shot Liberty Valance,,,2.0,,
the North American Free Trade Agreement,,,2.0,,
(Felix) Frankfurter,,,2.0,1.0,
the hand,,,2.0,,
